,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Results of DICE-2016R model run using model Dice2016R-091916ap.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This is optimal if ifopt = 1 and baseline if ifopt = 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ifopt =",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Period",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
"Year",2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150,2155,2160,2165,2170,2175,2180,2185,2190,2195,2200,2205,2210,2215,2220,2225,2230,2235,2240,2245,2250,2255,2260,2265,2270,2275,2280,2285,2290,2295,2300,2305,2310,2315,2320,2325,2330,2335,2340,2345,2350,2355,2360,2365,2370,2375,2380,2385,2390,2395,2400,2405,2410,2415,2420,2425,2430,2435,2440,2445,2450,2455,2460,2465,2470,2475,2480,2485,2490,2495,2500,2505,2510
"Industrial Emissions GTCO2 per year",35.7447136501,39.3835637086,42.9314853145,46.3496993381,49.6059721143,52.6740698995,55.5331375354,58.1670563028,60.5638177793,62.7149365551,64.6149142859,66.2607601437,67.6515675986,68.7881439987,69.6726869909,70.3084998109,70.6997351677,70.8511538997,70.7678784193,70.4569501823,69.9252405044,69.1795072868,68.226405108,67.0724705737,65.7240955878,64.1874957174,62.4686775834,60.573407327,58.5071811303,56.2751981687,53.8823360588,51.3331287029,48.6317463666,45.7819778056,42.7872142654,39.6504351863,36.3741954642,32.9606139862,29.4113630696,25.7276577754,21.9102429081,17.9593727819,13.8747731383,9.6555629092,5.3000900708,-11.8634326714,-11.5798187002,-11.295819541,-11.0126724193,-10.7311476387,-10.4517643001,-10.1749078778,-9.9008924839,-9.6299925148,-9.3624577544,-9.0985198383,-8.838394434,-8.5822814855,-8.3303647352,-8.0828111242,-7.8397703333,-7.601374566,-7.367738579,-7.1389599376,-6.9151194578,-6.6962817941,-6.4824961349,-6.2737969751,-6.0702049463,-5.8717276666,-5.6783606126,-5.4900879867,-5.3068835699,-5.1287115508,-4.9555273178,-4.7872782009,-4.6239041353,-4.4653382398,-4.3115072313,-4.1623316201,-4.0177255413,-3.8775960355,-3.7418413651,-3.6103478078,-3.4829838645,-3.3595901704,-3.2399621536,-3.1238203689,-3.0107596229,-2.9001608043,-2.7910348181,-2.7054544873,-2.6181936748,-2.5308227394,-2.4443701179,-2.3595013833,-2.2766380968,-2.1960373373,-2.1178452289,10.2106655844
"Atmospheric concentration C (ppm)",399.5305164319,418.4684293752,438.3111976747,459.1486607988,481.0061775884,503.8643080959,527.6727191939,552.3600408312,577.8408725423,604.020776897,630.7998456847,658.0752503777,685.7430668035,713.6995786343,741.8422040417,770.0701468721,798.2848423896,826.3902438248,854.2929761718,881.9023644842,909.1314995817,935.8968729468,962.1181441058,987.7179751071,1012.6218957195,1036.7581796066,1060.0577211416,1082.4539077708,1103.8824856951,1124.2814181528,1143.5907363583,1161.7523835153,1178.7100524747,1194.4090176513,1208.7959618057,1221.8187982743,1233.4264891928,1243.5688602219,1252.1964121532,1259.2601295904,1264.7112863051,1268.5012455872,1270.5812510092,1270.9021967743,1269.4143537265,1266.0670003291,1252.6956096121,1241.4825578834,1231.7800907633,1223.1471335092,1215.2832108596,1207.9834611616,1201.1080211993,1194.5611976063,1188.2773008173,1182.2110133898,1176.3308434654,1170.6146767931,1165.0467558874,1159.6156294892,1154.3127615761,1149.1315885785,1144.0668810942,1139.1143123985,1134.2701673369,1129.5311464616,1124.8942347369,1120.3566139735,1115.9156048365,1111.5686288068,1107.3131835794,1103.1468274627,1099.0671697816,1095.0718652533,1091.1586109639,1087.3251450265,1083.5692463072,1079.8887348299,1076.281472608,1072.7453647932,1069.2783611264,1065.8784577975,1062.5436999564,1059.2721853728,1056.062070067,1052.9115773431,1049.8190126245,1046.7827881672,1043.8014645915,1040.8738212168,1037.9989763545,1035.1765962995,1032.3920806781,1029.6485883262,1026.9474340597,1024.2888245915,1021.6723140792,1019.0970845224,1016.5621169311,1014.066294624
"Atmospheric Temperature",0.85,1.0163451841,1.1892366338,1.3679298492,1.5517465305,1.7400208636,1.9320774319,2.1272273346,2.3247739002,2.5240226181,2.7242920719,2.9249240757,3.125292125,3.3248078343,3.5229253636,3.7191440136,3.9130092478,4.1041124262,4.2891336317,4.4681302662,4.6411510311,4.8082396301,4.9694372634,5.1247842336,5.2743208943,5.4180881094,5.5561273487,5.6884805171,5.815189586,5.9362960833,6.0518404811,6.1618615105,6.2663954238,6.365475218,6.4591298274,6.5473832888,6.6302538775,6.7077532121,6.7798853188,6.8466456464,6.908020019,6.9639835075,7.0144991996,7.0595168364,7.0989712712,7.1327806809,7.1573990473,7.1748597186,7.1866771692,7.1939928872,7.1976786597,7.198409652,7.1967162135,7.1930207575,7.187664176,7.1809249121,7.1730328664,7.1641796509,7.1545262481,7.1442088096,7.1333431118,7.1220280284,7.1103482786,7.0983766303,7.0861756915,7.0737993825,7.0612941601,7.0487000435,7.0360514827,7.023378096,7.0107053028,6.9980548664,6.9854453635,6.9728925902,6.9604099152,6.9480085866,6.9356980001,6.9234859329,6.9113787487,6.8993815774,6.8874984726,6.8757325511,6.8640861156,6.8525607645,6.8411574913,6.8298767763,6.8187186745,6.8076829067,6.79676896,6.7859762142,6.7753041142,6.7647524321,6.7543138393,6.7439839356,6.7337599248,6.7236398316,6.71362205,6.7037050923,6.6938874576,6.6841675709
"Output Net Net) ",104.9972369966,125.040453243,147.2765387189,171.7445324823,198.4766463849,227.4989026709,258.8316233291,292.4898105413,328.4834514112,366.8177731191,407.4934672668,450.5068947124,495.8502741655,543.5118480247,593.4760045878,645.7233116169,700.230372111,756.9693297429,815.9577560263,877.1887070287,940.651370262,1006.3320431036,1074.2148373832,1144.282209869,1216.5153838821,1290.8947045188,1367.3999549955,1446.0106517847,1526.7063299791,1609.4668262902,1694.2725648707,1781.1048501843,1869.9461715568,1960.7805260749,2053.5937712016,2148.3740275909,2245.1121710297,2343.8024812027,2444.4435803495,2547.0398972862,2651.604095132,2758.1612618184,2866.7563198387,2977.4672976094,3090.4292275231,3203.3014499855,3319.7372173237,3438.0718964055,3558.3016019959,3680.3497910647,3804.1022763765,3929.4273412948,4056.186987386,4184.2429816515,4313.4599145524,4443.7065879059,4574.8565053281,4706.7879111418,4839.3836262498,4972.5308142655,5106.1207435511,5240.0485774471,5374.2131998984,5508.5170767263,5642.8661492712,5777.1697527076,5911.3405524501,6045.2944924589,6178.9507576761,6312.2317304677,6445.0629549242,6577.3730942664,6709.0938761194,6840.1600210936,6970.5091376232,7100.0815629617,7228.8200934595,7356.6695652439,7483.5761101978,7609.4858866633,7734.3428585791,7858.0849589171,7980.6372852827,8101.9001996457,8221.7283410334,8339.8936582597,8456.0201261513,8569.4680621381,8679.1279400618,8783.0489809258,8877.7576888251,9036.1871252115,9180.0809232457,9313.2153047693,9438.2626289574,9557.1207619229,9671.1408484285,9781.2865027498,9888.2459054752,9992.7941451697
"Climate Damages fraction output",0.0017051,0.0024377798,0.0033377097,0.0044161077,0.0056826848,0.0071453073,0.0088096988,0.0106792269,0.0127547939,0.0150348288,0.0175153708,0.0201902268,0.023051184,0.0260882592,0.0292899674,0.032643596,0.0361354736,0.0397512236,0.0434161349,0.0471154839,0.0508350676,0.0545612373,0.0582809238,0.0619816557,0.0656515677,0.0692794019,0.0728545006,0.076366793,0.0798067746,0.0831654824,0.0864344648,0.089605748,0.0926717994,0.0956254884,0.0984600452,0.1011690179,0.1037462289,0.1061857294,0.108481754,0.1106286736,0.1126209478,0.1144530764,0.1161195497,0.117614796,0.1189331277,0.1200686822,0.1208989322,0.1214895243,0.1218900558,0.1221383394,0.1222635243,0.1222883596,0.1222308292,0.1221053324,0.1219235385,0.1216950109,0.1214276652,0.1211281094,0.1208019002,0.1204537381,0.1200876181,0.1197069484,0.1193146442,0.1189132039,0.1185047708,0.118091185,0.1176740255,0.1172546466,0.1168342083,0.1164137021,0.1159939737,0.1155757417,0.1151596147,0.1147461053,0.1143356426,0.113928583,0.1135252199,0.1131257916,0.1127304887,0.1123394601,0.1119528191,0.1115706476,0.1111930006,0.1108199101,0.1104513885,0.1100874316,0.1097280215,0.1093731299,0.1090227212,0.1086767567,0.1083352002,0.1079980261,0.1076649828,0.1073359136,0.1070107136,0.1066893049,0.1063716216,0.1060576022,0.1057471851,0.1054403068
"Consumption Per Capita ",10.5017772322,11.8423307882,13.3042385549,14.8918770367,16.6095176127,18.4611990377,20.4506354216,22.5811507081,24.8556337122,27.2765096604,29.8457253852,32.5647461949,35.4345632109,38.4557109216,41.6282961859,44.9520425723,48.4263588682,52.0504500075,55.8247375694,59.7490584031,63.8228042849,68.0450208803,72.4144804358,76.9297374935,81.5891735519,86.391034457,91.3334629503,96.414527897,101.6322511796,106.9846328417,112.4696748131,118.0854033096,123.8298897534,129.7012696896,135.6977585684,141.8176619766,148.059376598,154.4213729211,160.902145946,167.5001058675,174.2133587602,181.039285262,187.9737495514,195.0096343716,202.1341538208,209.6310131451,217.2260967363,224.9348787239,232.7613878587,240.7031694436,248.7542453571,256.906849855,265.1524254302,273.4821776357,281.88737133,290.3594789794,298.8902463553,307.4717143121,316.0962186684,324.7563806491,333.4450937588,342.1555112088,350.8810347369,359.615305097,368.3521946699,377.0858017185,385.8104460008,394.5206641523,403.2112085696,411.8770437308,420.5133449714,429.1154978635,437.6790980008,446.1999532306,454.6740885856,463.0977598337,471.4674717187,479.7800234187,488.0325828196,496.2228248884,504.3491679965,512.411215002,520.4105099362,528.3518936105,536.2458860154,544.1128998336,551.9906985388,559.9476417605,568.1063901952,576.686889002,572.5942433411,582.8124830771,592.0932172703,600.6800025046,608.7451988181,616.411213311,623.7651909062,630.8692817926,637.7678714049,644.5109505831
"Carbon Price (per t CO2)",2,2.2081616064,2.43798884,2.6917366766,2.971894792,3.2812119889,3.6227231682,3.9997791053,4.4160793272,4.8757084106,5.3831760581,5.943461346,6.5620615767,7.2450462163,7.9991164457,8.8316709103,9.7508783122,10.7657575588,11.8862662526,13.1233983912,14.4892922365,15.9973494103,17.662366386,19.5006796658,21.5303260684,23.7712196988,26.2453473381,28.9769841693,31.9929319559,35.3227820106,38.9992055335,43.0582741696,47.5398139296,52.4877959474,57.9507679078,63.9823303777,70.641662714,77.9941037086,86.1117926675,95.0743772133,104.9697947574,115.8951353075,127.9575940773,141.2755232444,155.9795931762,235.6461722348,229.7550179289,224.0111424807,218.4108639187,212.9505923207,207.6268275127,202.4361568249,197.3752529042,192.4408715816,187.6298497921,182.9391035473,178.3656259586,173.9064853096,169.5588231769,165.3198525975,161.1868562825,157.1571848755,153.2282552536,149.3975488723,145.6626101504,142.0210448967,138.4705187743,135.0087558049,131.6335369098,128.342698487,125.1341310249,122.0057777492,118.9556333055,115.9817424729,113.0821989111,110.2551439383,107.4987653398,104.8112962063,102.1910138012,99.6362384561,97.1453324947,94.7166991824,92.3487817028,90.0400621602,87.7890606062,85.5943340911,83.4544757388,81.3681138453,79.3339109992,77.3505632242,75.4167991436,73.531379165,71.6930946859,69.9007673187,68.1532481358,66.4494169324,64.7881815091,63.1684769713,61.5892650471,0
"Emissions Control Rate",0.0298825095,0.0322971885,0.0349069875,0.0377276733,0.0407762867,0.0440712457,0.0476324563,0.0514814333,0.0556414299,0.0601375781,0.064997041,0.0702491765,0.0759257149,0.0820609502,0.088691948,0.0958587685,0.1036047095,0.1119765672,0.1210249192,0.1308044302,0.1413741821,0.1527980308,0.1651449923,0.1784896595,0.1929126527,0.2085011069,0.2253491981,0.2435587121,0.2632396598,0.2845109415,0.3075010653,0.3323489237,0.3592046322,0.3882304368,0.4196016936,0.4535079289,0.4901539833,0.5297612502,0.5725690125,0.6188358887,0.6688413952,0.7228876348,0.7813011221,0.8444347558,0.912669951,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,0
"Social cost of carbon",31.2310473305,37.2541104429,44.0394041723,51.6201283215,60.0276146493,69.2912129118,79.4381579402,90.493421278,102.4795582779,115.4165660154,129.3217710567,144.2097711381,160.0924633683,176.9792069111,194.8771950394,213.7921583351,233.7296019863,254.6969210309,276.7158292242,299.8056616868,323.9840786979,349.2675465695,375.6716682751,403.2114121677,431.9012699331,461.7553633732,492.7875118745,525.0112668989,558.4399163083,593.0864584177,628.9635436236,666.0833793552,704.4575920146,744.0970366644,785.0115412167,827.2095636188,870.6977353823,915.4802322985,961.5578964354,1008.926958295,1057.577108752,1107.4884779102,1158.6267431797,1210.9350040873,1264.3200564734,1321.4223527839,1378.5065435945,1435.8036324259,1493.40073201,1551.2905907101,1609.4031542693,1667.6253179362,1725.8130327067,1783.798520615,1841.3943919881,1898.3958241142,1954.5815378727,2009.7140468516,2063.5394820723,2115.7871921946,2166.1692469766,2214.3799485541,2260.0954208585,2302.9733415244,2342.6528837572,2378.7549302558,2410.8826275268,2438.6223430857,2461.5451398498,2479.2088018261,2491.1605463438,2496.9405005299,2496.0860356027,2488.1370680617,2472.6424158128,2449.167327163,2417.302210702,2376.6727519753,2326.951402421,2267.8703799136,2199.2361819341,2120.9458238838,2033.0046500955,1935.5458361166,1828.8512111348,1713.37270706,1589.7526520963,1458.8390876374,1321.688432475,1179.5405563369,1011.3866250966,868.4118220281,723.4522336926,580.2176894321,442.5450190009,314.5840512181,200.9354088901,106.7401217222,37.702249194,0
