"","Region","intercept","slope"
"1","Canada",27.9416450921788,5.0918321370445e-10
"2","Euro",27.941547993649,6.20824122460967e-08
"3","JpnKor",27.9416450911714,0.00124722941955808
"4","Mexico",27.9416450911714,1.07779364528136e-05
"5","Oceania",27.941362841057,2.06465408402598e-13
"6","USA",27.9416333171021,3.5494919710355e-10
"7","Brazil",27.9415872899082,8.49632098945296e-08
"8","China",27.941470091698,1.99629062946306e-11
"9","India",27.9416450911714,1.37434887515237e-06
"10","Indonesia",27.9416450911714,1.18858169864916e-05
"11","LACA",27.941628545492,1.54642539084903e-14
"12","MENA",27.9416450911714,9.62961388990732e-09
"13","SA",27.9416450911714,6.58502891895403e-05
"14","SAsia",27.9416450911714,1.59005635939802e-05
"15","SEAsia",27.9416450911714,3.64669957766986e-06
"16","SSA",27.9416435009855,1.75738874899249e-10
"17","TE",27.9416450911714,5.08960325717649e-10
