"","Region","intercept","value"
"1","canada",27.9416450921788,5.0918321370445e-10
"2","europe",27.941547993649,6.20824122460967e-08
"3","jpnkor",27.9416450911714,0.00124722941955808
"4","mexico",27.9416450911714,1.07779364528136e-05
"5","oceania",27.941362841057,2.06465408402598e-13
"6","usa",27.9416333171021,3.5494919710355e-10
"7","brazil",27.9415872899082,8.49632098945296e-08
"8","china",27.941470091698,1.99629062946306e-11
"9","india",27.9416450911714,1.37434887515237e-06
"10","indonesia",27.9416450911714,1.18858169864916e-05
"11","laca",27.941628545492,1.54642539084903e-14
"12","mena",27.9416450911714,9.62961388990732e-09
"13","southafrica",27.9416450911714,6.58502891895403e-05
"14","sasia",27.9416450911714,1.59005635939802e-05
"15","seasia",27.9416450911714,3.64669957766986e-06
"16","ssa",27.9416435009855,1.75738874899249e-10
"17","te",27.9416450911714,5.08960325717649e-10
