Material;Unit;Global supply;Source / notes;;;;;
Ag;t/yr;27476;EC, 2023 - Extraction stage;;;;;
Al;t/yr;336197330;EC, 2023 - Extraction stage;;;;;
As;t/yr;41693;EC, 2023 - Processing stage;;;;;
Au;t/yr;3302;EC, 2023 - Extraction stage;;;;;
B;t/yr;1287469;EC, 2023 - Extraction stage;;;;;
Ba;t/yr;8986197;EC, 2023 - Extraction stage (assessed as baryte);;;;;
Balsa wood;t/yr;69200;Forest trends, 2022 (volume) and JRC, 2022 (density);;;;;
Be;t/yr;220;EC, 2023 - Extraction stage;;;;;
Bi;t/yr;10140;EC, 2023 - Processing stage;;;;;
Cd;t/yr;26144;EC, 2023 - Processing stage;;;;;
Ce;t/yr;47675;EC, 2023 - Processing stage;;;;;
Co;t/yr;92662;EC, 2023 - Extraction stage;;;;;
Concrete;t/yr;30000000000;Nature, 2021;;;;;
Cr;t/yr;12991891;EC, 2023 - Extraction stage;;;;;
Cu;t/yr;20546921;EC, 2023 - Extraction stage;;;;;
Dy;t/yr;1682;EC, 2023 - Processing stage;;;;;
Epoxy resins;t/yr;3500000;ChemAnalyst, 2022;;;;;
Eu;t/yr;336;EC, 2023 - Processing stage;;;;;
Fe;t/yr;1668529464;EC, 2023 - Processing stage;;;;;
Fluorspar;t/yr;6697003;EC, 2023 - Extraction stage;;;;;
Ga;t/yr;301;EC, 2023 - Processing stage;;;;;
Gd;t/yr;2393;EC, 2023 - Processing stage;;;;;
Ge;t/yr;100;EC, 2023 - Processing stage;;;;;
Glass;t/yr;95000000;ICG, Community of Glass Associations, and ICOM (2022);;;;;
Glass / carbon composites;t/yr;100310;Ali and Asmatulu (2021);;;;;
Glass fibre;t/yr;5851337;Statista, 2023a;;;;;
Graphite;t/yr;1019167;EC, 2023 - Extraction stage;;;;;
Hf;t/yr;71;EC, 2023 - Processing stage;;;;;
In;t/yr;845;EC, 2023 - Processing stage;;;;;
Ir;t/yr;7;EC, 2023 - Processing stage;;;;;
La;t/yr;36413;EC, 2023 - Processing stage;;;;;
Li;t/yr;57160;EC, 2023 - Processing stage;;;;;
Mg;t/yr;982712;EC, 2023 - Processing stage;;;;;
Mn;t/yr;18871407;EC, 2023 - Extraction stage;;;;;
Mo;t/yr;275899;EC, 2023 - Extraction stage;;;;;
Nb;t/yr;72502;EC, 2023 - Extraction stage;;;;;
Nd;t/yr;27095;EC, 2023 - Processing stage;;;;;
Ni;t/yr;2143025;EC, 2023 - Processing stage;;;;;
P;t/yr;1196000;EC, 2023 - Processing stage;;;;;
Pb;t/yr;4635378;EC, 2023 - Extraction stage;;;;;
Pd;t/yr;213;EC, 2023 - Processing stage;;;;;
Plastic;t/yr;380000000;Plastic Oceans, 2022;;;;;
Pr;t/yr;7962;EC, 2023 - Processing stage;;;;;
Pt;t/yr;183;EC, 2023 - Processing stage;;;;;
Rh;t/yr;23;EC, 2023 - Processing stage;;;;;
Ru;t/yr;29;EC, 2023 - Processing stage;;;;;
Sb;t/yr;142347;EC, 2023 - Extraction stage;;;;;
Se;t/yr;3737;EC, 2023 - Processing stage;;;;;
Si;t/yr;3011920;EC, 2023 - Processing stage;;;;;
Sn;t/yr;368694;EC, 2023 - Processing stage;;;;;
Sr;t/yr;156417;EC, 2023 - Extraction stage;;;;;
Steel;t/yr;1951000000;Visual capitalist, 2022;;;;;
Syntetic rubber;t/yr;14400000;Statista, 2023b;;;;;
Ta;t/yr;1533;EC, 2023 - Extraction stage;;;;;
Tb;t/yr;332;EC, 2023 - Processing stage;;;;;
Te;t/yr;891;EC, 2023 - Processing stage;;;;;
Ti;t/yr;4520677;EC, 2023 - Extraction stage;;;;;
V;t/yr;91354;EC, 2023 - Extraction stage;;;;;
W;t/yr;87000;EC, 2023 - Processing stage;;;;;
Y;t/yr;8220;EC, 2023 - Processing stage;;;;;
Zn;t/yr;12140004;EC, 2023 - Extraction stage;;;;;
Zr;t/yr;928830;EC, 2023 - Extraction stage;;;;;
;;;;;;;;
;;;;;;;;
References;;;;;;;;
;;;;;;;;
Ali, Z. and Asmatulu, E. (2021), Effects of Acid Treatment on The Recovery of Outdated Pre-preg Composite Fibers, Research Square 10.21203/rs.3.rs-1093721/v1. ;;;;;;;;
