Region;Sector;Material;Scenario;Unit;2020;2030;2050
EU;All sectors;Ag;LDS;t/yr;571,8796831;493,2733364;331,3633139
EU;All sectors;Ag;HDS;t/yr;571,8796831;998,0514574;750,1515702
EU;All sectors;Al;LDS;t/yr;322900,2835;882370,0446;1336865,524
EU;All sectors;Al;HDS;t/yr;322900,2835;1374993,548;2063801,396
EU;All sectors;As;LDS;t/yr;2,980752;2,56188087;19,14543592
EU;All sectors;As;HDS;t/yr;2,980752;3,643152;43,34209072
EU;All sectors;Au;LDS;t/yr;14,10129081;13,37381601;0
EU;All sectors;Au;HDS;t/yr;14,10129081;19,35078208;0
EU;All sectors;B;LDS;t/yr;145,2454603;188,2427312;110,9090187
EU;All sectors;B;HDS;t/yr;145,2454603;300,8177915;217,2489626
EU;All sectors;Ba;LDS;t/yr;277,5180739;234,7556606;0
EU;All sectors;Ba;HDS;t/yr;277,5180739;332,8290801;0
EU;All sectors;Balsa wood;LDS;t/yr;2679,47757;4684,635;4320,135
EU;All sectors;Balsa wood;HDS;t/yr;2679,47757;9835,8111;12207,1293
EU;All sectors;Be;LDS;t/yr;0,255264681;0,213716372;0
EU;All sectors;Be;HDS;t/yr;0,255264681;0,300080117;0
EU;All sectors;Bi;LDS;t/yr;2,585546024;2,224968085;0
EU;All sectors;Bi;HDS;t/yr;2,585546024;3,149407745;0
EU;All sectors;Br;LDS;t/yr;859,74;743,5577285;0
EU;All sectors;Br;HDS;t/yr;859,74;1052,5536;0
EU;All sectors;Cd;LDS;t/yr;60,17947154;51,9327117;38,87996217
EU;All sectors;Cd;HDS;t/yr;60,17947154;106,845422;88,01778424
EU;All sectors;Ce;LDS;t/yr;10,01250333;8,622275014;0
EU;All sectors;Ce;HDS;t/yr;10,01250333;12,24298404;0
EU;All sectors;Cl;LDS;t/yr;24,564;21,24450653;0
EU;All sectors;Cl;HDS;t/yr;24,564;30,07296;0
EU;All sectors;Co;LDS;t/yr;8620,205571;40732,48592;36308
EU;All sectors;Co;HDS;t/yr;8620,205571;54100,96359;40202
EU;All sectors;Concrete;LDS;t/yr;4588589,292;7309346,803;6951427,358
EU;All sectors;Concrete;HDS;t/yr;4588589,292;15027596,96;17835220,3
EU;All sectors;Cr;LDS;t/yr;6327,440564;10313,59701;8450,447853
EU;All sectors;Cr;HDS;t/yr;6327,440564;21190,63058;24662,29315
EU;All sectors;Cu;LDS;t/yr;127519,2039;434315,9456;689815,5172
EU;All sectors;Cu;HDS;t/yr;127519,2039;802440,1378;1304971,142
EU;All sectors;Dy;LDS;t/yr;124,5146605;202,6635859;170,3056535
EU;All sectors;Dy;HDS;t/yr;125,5146605;713,1107132;916,4928741
EU;All sectors;Electrosteel;LDS;t/yr;31087;174851;268653
EU;All sectors;Electrosteel;HDS;t/yr;31087;244347;356658
EU;All sectors;Epoxy Resins;LDS;t/yr;2447,852167;3418,330139;0
EU;All sectors;Epoxy Resins;HDS;t/yr;2447,852167;5202,130792;0
EU;All sectors;Eu;LDS;t/yr;0,00981;0,006487461;0
EU;All sectors;Eu;HDS;t/yr;0,00981;0,00849;0
EU;All sectors;Fe;LDS;t/yr;217691,7443;429678,2352;487411,2916
EU;All sectors;Fe;HDS;t/yr;217691,7443;870660,9745;1200357,005
EU;All sectors;Fluorspar;LDS;t/yr;97;1051;1940
EU;All sectors;Fluorspar;HDS;t/yr;97;1503;2930
EU;All sectors;Ga;LDS;t/yr;5,520086379;4,778212281;40,39686978
EU;All sectors;Ga;HDS;t/yr;5,520086379;8,6230795;91,45181142
EU;All sectors;Gd;LDS;t/yr;1,459621044;1,212005346;0
EU;All sectors;Gd;HDS;t/yr;1,459621044;1,758657293;0
EU;All sectors;Ge;LDS;t/yr;0,190491046;0,232061381;2503,633927
EU;All sectors;Ge;HDS;t/yr;0,190491046;0,349317525;5667,811864
EU;All sectors;Glass;LDS;t/yr;1090137,72;1112986,007;1204836,411
EU;All sectors;Glass;HDS;t/yr;1090137,72;2290046,685;2727549,754
EU;All sectors;Glass / carbon composites;LDS;t/yr;79864,77834;139377,8314;128476,84
EU;All sectors;Glass / carbon composites;HDS;t/yr;79864,77834;294733,4533;369304,548
EU;All sectors;Glass fibre;LDS;t/yr;3581,421709;5001,315821;0
EU;All sectors;Glass fibre;HDS;t/yr;3581,421709;7611,172116;0
EU;All sectors;Graphite;LDS;t/yr;33726;342448;595405
EU;All sectors;Graphite;HDS;t/yr;33726;478740;886573
EU;All sectors;Hf;LDS;t/yr;0,1048704;0,087486044;0
EU;All sectors;Hf;HDS;t/yr;0,1048704;0,1271712;0
EU;All sectors;Hg;LDS;t/yr;0,030654588;0,026512033;0
EU;All sectors;Hg;HDS;t/yr;0,030654588;0,037529482;0
EU;All sectors;In;LDS;t/yr;11,47439883;9,79957891;39,83723396
EU;All sectors;In;HDS;t/yr;11,47439883;17,70120336;90,18488877
EU;All sectors;Ir;LDS;t/yr;0;1,8;2,4
EU;All sectors;Ir;HDS;t/yr;0;0;0
EU;All sectors;La;LDS;t/yr;0;3,8;96,7
EU;All sectors;La;HDS;t/yr;0;0;0
EU;All sectors;Li;LDS;t/yr;4891,139827;42313,11665;70563
EU;All sectors;Li;HDS;t/yr;4891,139827;58208,16956;101873
EU;All sectors;Mg;LDS;t/yr;7488,63183;6162,187591;0
EU;All sectors;Mg;HDS;t/yr;7488,63183;8666,559913;0
EU;All sectors;Mn;LDS;t/yr;16823,19349;46356,08369;44722,33058
EU;All sectors;Mn;HDS;t/yr;16823,19349;74938,1229;74144,91283
EU;All sectors;Mo;LDS;t/yr;1245,608722;2072,38621;1640,772738
EU;All sectors;Mo;HDS;t/yr;1245,608722;4276,786842;4877,172018
EU;All sectors;Nb;LDS;t/yr;0,724819989;0,603672893;0
EU;All sectors;Nb;HDS;t/yr;0,724819989;0,874631799;0
EU;All sectors;Nd;LDS;t/yr;1102,638051;2550,204605;2583,006388
EU;All sectors;Nd;HDS;t/yr;1102,638051;5448,695461;6895,991579
EU;All sectors;Ni;LDS;t/yr;28270,1569;224822,7384;317120,4747
EU;All sectors;Ni;HDS;t/yr;28345,76537;285805,7163;455269,0536
EU;All sectors;Ni;HDS;t/yr;0;0;0
EU;All sectors;P;LDS;t/yr;1065;76139;234058
EU;All sectors;P;HDS;t/yr;1065;131991;385421
EU;All sectors;Pb;LDS;t/yr;740,2720399;638,950907;397,6359767
EU;All sectors;Pb;HDS;t/yr;740,2720399;1264,349286;900,1818842
EU;All sectors;Pd;LDS;t/yr;2,900725759;4,114398047;1,6
EU;All sectors;Pd;HDS;t/yr;0;0;0
EU;All sectors;Pd;HDS;t/yr;2,900725759;6,149084467;6,1
EU;All sectors;Plastic;LDS;t/yr;192976,4272;230190,3703;225623,5694
EU;All sectors;Plastic;HDS;t/yr;192976,4272;475206,1645;552887,0533
EU;All sectors;Pr;LDS;t/yr;123,6542318;162,5478687;62,52611695
EU;All sectors;Pr;HDS;t/yr;123,6542318;445,9656555;510,3282446
EU;All sectors;Pt;LDS;t/yr;0,09888217;1,881061392;9,938354004
EU;All sectors;Pt;HDS;t/yr;0,098882168;3,014028405;19,76976379
EU;All sectors;Pt;HDS;t/yr;0;0;0
EU;All sectors;Rh;LDS;t/yr;0,0027;0,4388;0,5652
EU;All sectors;Rh;HDS;t/yr;0;0;0
EU;All sectors;Ru;LDS;t/yr;0,035541193;0,480780367;0,5652
EU;All sectors;Ru;HDS;t/yr;0;0;0
EU;All sectors;Ru;HDS;t/yr;0,035541193;0,75348357;2,2293
EU;All sectors;Sb;LDS;t/yr;52,98680465;63,36344176;0
EU;All sectors;Sb;HDS;t/yr;52,98680465;94,59351387;0
EU;All sectors;Se;LDS;t/yr;9,388898565;8,102275343;6,06763046
EU;All sectors;Se;HDS;t/yr;9,388898565;16,67099917;13,73610875
EU;All sectors;Si;LDS;t/yr;60922,09541;52651,95278;35787,2379
EU;All sectors;Si;HDS;t/yr;60922,09541;106996,5341;81016,36958
EU;All sectors;Sn;LDS;t/yr;1405,790382;1218,06419;662,7266279
EU;All sectors;Sn;HDS;t/yr;1405,790382;2328,793206;1500,30314
EU;All sectors;Sr;LDS;t/yr;168,956544;141,2905342;0
EU;All sectors;Sr;HDS;t/yr;168,956544;201,3422045;0
EU;All sectors;Steel;LDS;t/yr;2483923,638;3433243,469;3332593,677
EU;All sectors;Steel;HDS;t/yr;2483923,638;7098408,479;8565996,755
EU;All sectors;Synthetic rubber;LDS;t/yr;67,76784;93,73205653;0
EU;All sectors;Synthetic rubber;HDS;t/yr;67,76784;142,0610245;0
EU;All sectors;Ta;LDS;t/yr;37,8742694;32,52884246;0
EU;All sectors;Ta;HDS;t/yr;37,8742694;46,23591541;0
EU;All sectors;Tb;LDS;t/yr;23,12460899;34,50850333;16,17692212
EU;All sectors;Tb;HDS;t/yr;23,12460899;92,84814029;104,7711334
EU;All sectors;Te;LDS;t/yr;64,71959205;55,85063586;41,82541385
EU;All sectors;Te;HDS;t/yr;64,71959205;114,9165962;94,68579819
EU;All sectors;Ti;LDS;t/yr;165,7480601;155,8134273;0
EU;All sectors;Ti;HDS;t/yr;165,7480601;224,7516759;0
EU;All sectors;V;LDS;t/yr;2,060864307;1,714037226;0
EU;All sectors;V;HDS;t/yr;5,060297105;6,928958351;0
EU;All sectors;W;LDS;t/yr;42,8035255;35,64197078;0
EU;All sectors;W;HDS;t/yr;42,8035255;51,72273711;0
EU;All sectors;Y;LDS;t/yr;0,139367971;0,616191359;11,7
EU;All sectors;Y;HDS;t/yr;0;0;0
EU;All sectors;Y;HDS;t/yr;0,139367971;0,862968213;46,3
EU;All sectors;Zn;LDS;t/yr;47204,87777;78121,36931;69014,10222
EU;All sectors;Zn;HDS;t/yr;47204,87777;170658,2874;211618,9223
EU;All sectors;Zr;LDS;t/yr;8,422171899;426,0920681;1110
EU;All sectors;Zr;HDS;t/yr;0;0;0
EU;All sectors;Zr;HDS;t/yr;8,422171899;667,8425882;4378,3
USA;All sectors;Ag;LDS;t/yr;362,6202628;649,1400374;750,0411812
USA;All sectors;Ag;HDS;t/yr;362,6202628;857,7287292;925,0706206
USA;All sectors;Al;LDS;t/yr;248575,1409;1001241,952;2469894,368
USA;All sectors;Al;HDS;t/yr;248575,1409;1572461,109;3292910,585
USA;All sectors;As;LDS;t/yr;2,145486159;1,6947029;56,77167602
USA;All sectors;As;HDS;t/yr;2,145486159;2,281335233;70,01990141
USA;All sectors;Au;LDS;t/yr;14,33812794;14,59263336;0
USA;All sectors;Au;HDS;t/yr;14,33812794;21,09116766;0
USA;All sectors;B;LDS;t/yr;78,63464559;114,3271441;150,4668285
USA;All sectors;B;HDS;t/yr;78,63464559;184,9258491;210,1835043
USA;All sectors;Ba;LDS;t/yr;208,2366961;162,7443853;0
USA;All sectors;Ba;HDS;t/yr;208,2366961;220,2974091;0
USA;All sectors;Balsa wood;LDS;t/yr;3799,926;3893,611143;4794,134205
USA;All sectors;Balsa wood;HDS;t/yr;3799,926;4294,226763;5783,839518
USA;All sectors;Be;LDS;t/yr;0,169884277;0,131387004;0
USA;All sectors;Be;HDS;t/yr;0,169884277;0,173737832;0
USA;All sectors;Bi;LDS;t/yr;1,678067077;1,325581503;0
USA;All sectors;Bi;HDS;t/yr;1,678067077;1,750605342;0
USA;All sectors;Br;LDS;t/yr;538,5681558;427,0845437;0
USA;All sectors;Br;HDS;t/yr;538,5681558;560,4113317;0
USA;All sectors;Cd;LDS;t/yr;316,6838085;587,1122971;749,3861234
USA;All sectors;Cd;HDS;t/yr;316,6838085;775,0643678;924,2626986
USA;All sectors;Ce;LDS;t/yr;6,905504105;5,460595926;0
USA;All sectors;Ce;HDS;t/yr;6,905504105;7,296278879;0
USA;All sectors;Cl;LDS;t/yr;15,38766159;12,20241553;0
USA;All sectors;Cl;HDS;t/yr;15,38766159;16,01175233;0
USA;All sectors;Co;LDS;t/yr;3131,359833;33499,09297;60408
USA;All sectors;Co;HDS;t/yr;3131,359833;55052,0222;66107
USA;All sectors;Concrete;LDS;t/yr;6009329,835;7149875,042;9853309,669
USA;All sectors;Concrete;HDS;t/yr;6009329,835;8248288,842;11622717,91
USA;All sectors;Cr;LDS;t/yr;8445,788711;8853,214226;8889,703856
USA;All sectors;Cr;HDS;t/yr;8445,788711;10559,80969;11208,61698
USA;All sectors;Cu;LDS;t/yr;172959,8885;385562,9168;872164,9469
USA;All sectors;Cu;HDS;t/yr;172959,8885;660103,0559;1325069,311
USA;All sectors;Dy;LDS;t/yr;51,30768;130,6845387;207,9356667
USA;All sectors;Dy;HDS;t/yr;53,30768;492,0996099;959,68563
USA;All sectors;Electrosteel;LDS;t/yr;6623;131236;391565
USA;All sectors;Electrosteel;HDS;t/yr;6623;245062;498225
USA;All sectors;Epoxy Resins;LDS;t/yr;4866,212138;6834,77082;0
USA;All sectors;Epoxy Resins;HDS;t/yr;4866,212138;10401,38614;0
USA;All sectors;Eu;LDS;t/yr;0,008970508;0,006170438;0
USA;All sectors;Eu;HDS;t/yr;0,008970508;0,008474579;0
USA;All sectors;Fe;LDS;t/yr;310406,65;396711,0633;630909,0648
USA;All sectors;Fe;HDS;t/yr;310406,65;534092,3953;912843,3639
USA;All sectors;Fluorspar;LDS;t/yr;38;813;3108
USA;All sectors;Fluorspar;HDS;t/yr;38;1482;4566
USA;All sectors;Ga;LDS;t/yr;2,948971338;3,190199466;115,1964097
USA;All sectors;Ga;HDS;t/yr;2,948971338;4,400740151;142,0786176
USA;All sectors;Gd;LDS;t/yr;1,680971082;1,311721551;0
USA;All sectors;Gd;HDS;t/yr;1,680971082;1,879170529;0
USA;All sectors;Ge;LDS;t/yr;0,328591081;0,419762282;7423,988402
USA;All sectors;Ge;HDS;t/yr;0,328591081;0,634051559;9156,448646
USA;All sectors;Glass;LDS;t/yr;1018172,587;2233270,633;4101272,349
USA;All sectors;Glass;HDS;t/yr;1018172,587;2948207,106;5058344,33
USA;All sectors;Glass / carbon composites;LDS;t/yr;110199,2614;112995,4398;139552,1781
USA;All sectors;Glass / carbon composites;HDS;t/yr;110199,2614;125621,7479;171776,7659
USA;All sectors;Glass fibre;LDS;t/yr;7119,69376;9999,867201;0
USA;All sectors;Glass fibre;HDS;t/yr;7119,69376;15218,13721;0
USA;All sectors;Graphite;LDS;t/yr;12817;267613;956753
USA;All sectors;Graphite;HDS;t/yr;12817;478079;1385797
USA;All sectors;Hf;LDS;t/yr;0,121344;0,094892269;0
USA;All sectors;Hf;HDS;t/yr;0,121344;0,136032;0
USA;All sectors;Hg;LDS;t/yr;0,019202997;0,015227977;0
USA;All sectors;Hg;HDS;t/yr;0,019202997;0,01998183;0
USA;All sectors;In;LDS;t/yr;4,676751255;5,237684865;108,3350003
USA;All sectors;In;HDS;t/yr;4,676751255;6,957562477;133,6160313
USA;All sectors;Ir;LDS;t/yr;0;1,1;2,5
USA;All sectors;Ir;HDS;t/yr;0;4,1;8,8
USA;All sectors;La;LDS;t/yr;0;2,9;73,6
USA;All sectors;La;HDS;t/yr;0;10,2;263,3
USA;All sectors;Li;LDS;t/yr;1755,161792;33870,12652;113332
USA;All sectors;Li;HDS;t/yr;1755,161792;59428,18138;159374
USA;All sectors;Mg;LDS;t/yr;5742,963757;4407,833819;0
USA;All sectors;Mg;HDS;t/yr;5742,963757;5972,926965;0
USA;All sectors;Mn;LDS;t/yr;16373,13371;40921,96235;67242,60586
USA;All sectors;Mn;HDS;t/yr;16373,13371;60811,44734;76686,15142
USA;All sectors;Mo;LDS;t/yr;1800,835829;1987,800826;1767,939731
USA;All sectors;Mo;HDS;t/yr;1800,835829;2450,85763;2236,684876
USA;All sectors;Nb;LDS;t/yr;0,810533541;0,632960655;0
USA;All sectors;Nb;HDS;t/yr;0,810533541;0,904034166;0
USA;All sectors;Nd;LDS;t/yr;476,155633;1768,819901;3392,319613
USA;All sectors;Nd;HDS;t/yr;476,155633;3942,310377;6564,873132
USA;All sectors;Ni;LDS;t/yr;14819,73945;155006,1654;478223,9349
USA;All sectors;Ni;HDS;t/yr;14920,50785;253442,0681;622073,5154
USA;All sectors;P;LDS;t/yr;1919;82573;389790
USA;All sectors;P;HDS;t/yr;1919;170279;638327
USA;All sectors;Pb;LDS;t/yr;465,7152208;802,197891;900,0494175
USA;All sectors;Pb;HDS;t/yr;465,7152208;1058,811926;1110,084745
USA;All sectors;Pd;LDS;t/yr;3,133578173;4,273717887;1,6
USA;All sectors;Pd;HDS;t/yr;3,133578173;7,778825171;5,8
USA;All sectors;Plastic;LDS;t/yr;229179,7983;353175,6977;533190,3906
USA;All sectors;Plastic;HDS;t/yr;229179,7983;481851,5556;717849,5899
USA;All sectors;Pr;LDS;t/yr;59,3662441;69,04989844;15,93116414
USA;All sectors;Pr;HDS;t/yr;59,3662441;136,2385715;143,7055106
USA;All sectors;Pt;LDS;t/yr;0,10557103;1,195308809;15,63249988
USA;All sectors;Pt;HDS;t/yr;0,10557103;4,235248532;22,53933289
USA;All sectors;Ru;LDS;t/yr;0,065286709;0,358937531;0,591
USA;All sectors;Ru;HDS;t/yr;0,065286709;1,115531054;2,116
USA;All sectors;Sb;LDS;t/yr;78,15093945;102,0830743;0
USA;All sectors;Sb;HDS;t/yr;78,15093945;153,2729081;0
USA;All sectors;Se;LDS;t/yr;2,012585162;3,731283395;4,762655535
USA;All sectors;Se;HDS;t/yr;2,012585162;4,925778388;5,874067747
USA;All sectors;Si;LDS;t/yr;39446,81666;70534,41594;81004,44757
USA;All sectors;Si;HDS;t/yr;39446,81666;93418,60984;99907,62702
USA;All sectors;Sn;LDS;t/yr;974,0743748;1518,579032;1500,082362
USA;All sectors;Sn;HDS;t/yr;974,0743748;2028,085815;1850,141241
USA;All sectors;Sr;LDS;t/yr;147,3447437;114,685938;0
USA;All sectors;Sr;HDS;t/yr;147,3447437;158,8027369;0
USA;All sectors;Steel;LDS;t/yr;3235891,956;4548585,373;6795703,186
USA;All sectors;Steel;HDS;t/yr;3235891,956;5878862,279;8858265,25
USA;All sectors;Synthetic rubber;LDS;t/yr;134,7192;187,4123033;0
USA;All sectors;Synthetic rubber;HDS;t/yr;134,7192;284,0435259;0
USA;All sectors;Ta;LDS;t/yr;27,1304412;21,41820469;0
USA;All sectors;Ta;HDS;t/yr;27,1304412;28,80565877;0
USA;All sectors;Tb;LDS;t/yr;19,04634453;22,174;12,17449581
USA;All sectors;Tb;HDS;t/yr;19,04634453;34,37455001;36,22720974
USA;All sectors;Te;LDS;t/yr;340,6631475;631,5810976;806,1577994
USA;All sectors;Te;HDS;t/yr;340,6631475;833,7690258;994,2826
USA;All sectors;Ti;LDS;t/yr;147,6916829;146,7672828;0
USA;All sectors;Ti;HDS;t/yr;147,6916829;208,9918314;0
USA;All sectors;V;LDS;t/yr;2,32458361;1,81449159;0
USA;All sectors;V;HDS;t/yr;8,287311462;11,48114069;0
USA;All sectors;W;LDS;t/yr;48,85469022;38,16354504;0
USA;All sectors;W;HDS;t/yr;48,85469022;54,62685473;0
USA;All sectors;Y;LDS;t/yr;0,093448985;0,372053751;8,9
USA;All sectors;Y;HDS;t/yr;0,093448985;1,295369214;32
USA;All sectors;Zn;LDS;t/yr;67484,85811;69286,03426;82643,26517
USA;All sectors;Zn;HDS;t/yr;67484,85811;76945,41473;102376,9948
USA;All sectors;Zr;LDS;t/yr;10,72420891;244,9650132;535,7
USA;All sectors;Zr;HDS;t/yr;10,73420891;855,9317257;1916,222
China;All sectors;Ag;LDS;t/yr;1487,536628;1799,048008;1919,984286
China;All sectors;Ag;HDS;t/yr;1487,536628;2282,397324;2778,045099
China;All sectors;Al;LDS;t/yr;746918,8813;1178796,824;3014661,266
China;All sectors;Al;HDS;t/yr;746918,8813;1475881,16;4304387,586
China;All sectors;As;LDS;t/yr;3,427620216;2,576296268;110,9324254
China;All sectors;As;HDS;t/yr;3,427620216;3,691306031;160,5092724
China;All sectors;Au;LDS;t/yr;15,92019592;16,97886011;0
China;All sectors;Au;HDS;t/yr;15,92019592;24,59946901;0
China;All sectors;B;LDS;t/yr;206,2207651;142,4321461;233,068546
China;All sectors;B;HDS;t/yr;206,2207651;241,9429081;542,1923863
China;All sectors;Ba;LDS;t/yr;337,8567456;253,4744419;0
China;All sectors;Ba;HDS;t/yr;337,8567456;360,7368617;0
China;All sectors;Balsa wood;LDS;t/yr;19550,9052;9809,145483;20990,16374
China;All sectors;Balsa wood;HDS;t/yr;19550,9052;16089,82329;42959,97688
China;All sectors;Be;LDS;t/yr;0,171185913;0,126939065;0
China;All sectors;Be;HDS;t/yr;0,171185913;0,191210384;0
China;All sectors;Bi;LDS;t/yr;1,960537237;1,467153588;0
China;All sectors;Bi;HDS;t/yr;1,960537237;2,190230818;0
China;All sectors;Br;LDS;t/yr;571,0110757;427,0845437;0
China;All sectors;Br;HDS;t/yr;571,0110757;649,0211108;0
China;All sectors;Cd;LDS;t/yr;162,5774475;197,7089934;225,2781563
China;All sectors;Cd;HDS;t/yr;162,5774475;250,3617367;325,9572916
China;All sectors;Ce;LDS;t/yr;9,940978112;7,463894202;0
