Region;Sector;Material;Scenario;Unit;2020;2030;2050
EU;Renewable energy;Ag;LDS;t/yr;541,2289828;467,0607752;331,3633139
EU;Renewable energy;Ag;HDS;t/yr;541,2289828;961,0102676;750,1515702
EU;Renewable energy;Al;LDS;t/yr;227523,0621;279311,248;432218,5244
EU;Renewable energy;Al;HDS;t/yr;227523,0621;554128,5827;889333,396
EU;Renewable energy;As;LDS;t/yr;0;0;19,14543592
EU;Renewable energy;As;HDS;t/yr;0;0;43,34209072
EU;Renewable energy;B;LDS;t/yr;13,73426465;19,88186258;9,909018708
EU;Renewable energy;B;HDS;t/yr;13,73426465;64,50386028;86,24896263
EU;Renewable energy;Balsa wood;LDS;t/yr;2679,47757;4684,635;4320,135
EU;Renewable energy;Balsa wood;HDS;t/yr;2679,47757;9835,8111;12207,1293
EU;Renewable energy;Cd;LDS;t/yr;60,1618743;51,91749249;38,87996217
EU;Renewable energy;Cd;HDS;t/yr;60,1618743;106,8238782;88,01778424
EU;Renewable energy;Co;LDS;t/yr;143;3250;8707
EU;Renewable energy;Co;HDS;t/yr;143;4432;11577
EU;Renewable energy;Concrete;LDS;t/yr;4588589,292;7309346,803;6951427,358
EU;Renewable energy;Concrete;HDS;t/yr;4588589,292;15027596,96;17835220,3
EU;Renewable energy;Cr;LDS;t/yr;5239,713405;9151,665463;8450,447853
EU;Renewable energy;Cr;HDS;t/yr;5239,713405;19472,13953;24662,29315
EU;Renewable energy;Cu;LDS;t/yr;94712,80981;217018,289;349364,5172
EU;Renewable energy;Cu;HDS;t/yr;94712,80981;496783,8402;845312,1421
EU;Renewable energy;Dy;LDS;t/yr;57,29109511;87,37679152;47,30565348
EU;Renewable energy;Dy;HDS;t/yr;57,29109511;249,7710953;296,4928741
EU;Renewable energy;Fe;LDS;t/yr;187944,6339;330853,2206;334592,2916
EU;Renewable energy;Fe;HDS;t/yr;187944,6339;707460,9476;955321,005
EU;Renewable energy;Fluorspar;LDS;t/yr;3;64;323
EU;Renewable energy;Fluorspar;HDS;t/yr;3;102;564
EU;Renewable energy;Ga;LDS;t/yr;3,258768191;2,81219751;40,39686978
EU;Renewable energy;Ga;HDS;t/yr;3,258768191;5,7862934;91,45181142
EU;Renewable energy;Ge;LDS;t/yr;0;0;2503,633927
