Region;Technology;Material;Scenario;Unit;2020;2030;2050
EU;Li-ion batteries (e-mobility);Al;LDS;t/yr;51954;469266;733107
EU;Li-ion batteries (e-mobility);Al;HDS;t/yr;51954;632777;946736
EU;Li-ion batteries (e-mobility);Co;LDS;t/yr;7959;37138;27601
EU;Li-ion batteries (e-mobility);Co;HDS;t/yr;7959;49217;28625
EU;Li-ion batteries (e-mobility);Cu;LDS;t/yr;17256;164281;272471
EU;Li-ion batteries (e-mobility);Cu;HDS;t/yr;17256;230684;367976
EU;Li-ion batteries (e-mobility);Fe;LDS;t/yr;272;54459;144450
EU;Li-ion batteries (e-mobility);Fe;HDS;t/yr;272;96513;234156
EU;Li-ion batteries (e-mobility);Fluorspar;LDS;t/yr;94;987;1617
EU;Li-ion batteries (e-mobility);Fluorspar;HDS;t/yr;94;1401;2366
EU;Li-ion batteries (e-mobility);Graphite;LDS;t/yr;32658;321494;493123
EU;Li-ion batteries (e-mobility);Graphite;HDS;t/yr;32658;445687;711754
EU;Li-ion batteries (e-mobility);Li;LDS;t/yr;4758;39762;58417
EU;Li-ion batteries (e-mobility);Li;HDS;t/yr;4758;54296;81821
EU;Li-ion batteries (e-mobility);Mn;LDS;t/yr;6759;25979;19517
EU;Li-ion batteries (e-mobility);Mn;HDS;t/yr;6759;35992;19804
EU;Li-ion batteries (e-mobility);Ni;LDS;t/yr;23301;209604;275541
EU;Li-ion batteries (e-mobility);Ni;HDS;t/yr;23301;259660;369170
EU;Li-ion batteries (e-mobility);P;LDS;t/yr;643;65492;176138
EU;Li-ion batteries (e-mobility);P;HDS;t/yr;643;113511;272764
USA;Li-ion batteries (e-mobility);Al;LDS;t/yr;11812;354845;1068112
USA;Li-ion batteries (e-mobility);Al;HDS;t/yr;11812;647484;1323899
USA;Li-ion batteries (e-mobility);Co;LDS;t/yr;2045;23174;40415
USA;Li-ion batteries (e-mobility);Co;HDS;t/yr;2045;41215;39639
USA;Li-ion batteries (e-mobility);Cu;LDS;t/yr;3963;122256;397258
USA;Li-ion batteries (e-mobility);Cu;HDS;t/yr;3963;229245;513708
USA;Li-ion batteries (e-mobility);Fe;LDS;t/yr;70;33983;211511
USA;Li-ion batteries (e-mobility);Fe;HDS;t/yr;70;80821;324252
USA;Li-ion batteries (e-mobility);Fluorspar;LDS;t/yr;24;616;2367
USA;Li-ion batteries (e-mobility);Fluorspar;HDS;t/yr;24;1173;3276
USA;Li-ion batteries (e-mobility);Graphite;LDS;t/yr;8240;203155;721887
USA;Li-ion batteries (e-mobility);Graphite;HDS;t/yr;8240;378245;986127
USA;Li-ion batteries (e-mobility);Li;LDS;t/yr;1186;26021;85443
USA;Li-ion batteries (e-mobility);Li;HDS;t/yr;1186;47611;113532
USA;Li-ion batteries (e-mobility);Mn;LDS;t/yr;1688;16941;28549
USA;Li-ion batteries (e-mobility);Mn;HDS;t/yr;1688;31448;27474
USA;Li-ion batteries (e-mobility);Ni;LDS;t/yr;5986;130795;403462
USA;Li-ion batteries (e-mobility);Ni;HDS;t/yr;5986;217442;511215
USA;Li-ion batteries (e-mobility);P;LDS;t/yr;109;49820;256790
USA;Li-ion batteries (e-mobility);P;HDS;t/yr;109;114462;380772
China;Li-ion batteries (e-mobility);Al;LDS;t/yr;46845;169339;1069247
China;Li-ion batteries (e-mobility);Al;HDS;t/yr;46845;167127;1384322
China;Li-ion batteries (e-mobility);Co;LDS;t/yr;8179;12869;39801
China;Li-ion batteries (e-mobility);Co;HDS;t/yr;8179;12117;41873
China;Li-ion batteries (e-mobility);Cu;LDS;t/yr;15727;59069;396777
China;Li-ion batteries (e-mobility);Cu;HDS;t/yr;15727;60272;538096
China;Li-ion batteries (e-mobility);Fe;LDS;t/yr;279;18871;208299
China;Li-ion batteries (e-mobility);Fe;HDS;t/yr;279;23760;342530
China;Li-ion batteries (e-mobility);Fluorspar;LDS;t/yr;97;342;2331
China;Li-ion batteries (e-mobility);Fluorspar;HDS;t/yr;97;345;3460
China;Li-ion batteries (e-mobility);Graphite;LDS;t/yr;32924;111679;711476
China;Li-ion batteries (e-mobility);Graphite;HDS;t/yr;32924;110208;1041149
China;Li-ion batteries (e-mobility);Li;LDS;t/yr;4734;13910;84451
China;Li-ion batteries (e-mobility);Li;HDS;t/yr;4734;13574;119679
China;Li-ion batteries (e-mobility);Mn;LDS;t/yr;6739;9081;28208
China;Li-ion batteries (e-mobility);Mn;HDS;t/yr;6739;8987;28967
China;Li-ion batteries (e-mobility);Ni;LDS;t/yr;23945;72632;397336
China;Li-ion batteries (e-mobility);Ni;HDS;t/yr;23945;63926;540032
China;Li-ion batteries (e-mobility);P;LDS;t/yr;420;23666;256532
China;Li-ion batteries (e-mobility);P;HDS;t/yr;420;29817;398867
World;Li-ion batteries (e-mobility);Al;LDS;t/yr;116221;1878655;9170223
